domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"atlasbank.se","https://atlasbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:26:02.206Z"
"applemax.sk","https://applemax.sk",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-10T13:26:18.451Z"
"0000apple.com","https://0000apple.com",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-10T13:26:34.723Z"
"0000private0000secure0000message0000.com","https://0000private0000secure0000message0000.com",3,"blacklist_match","blacklist_match","","secure",0,0,"false","","","2025-07-10T13:26:50.957Z"
"000hq000private00secure00message.com","https://000hq000private00secure00message.com",3,"blacklist_match","blacklist_match","","secure",0,0,"false","","","2025-07-10T13:27:07.278Z"
"007gametada.com","https://007gametada.com",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-10T13:27:23.541Z"
"0088betlogin.com","https://0088betlogin.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:27:39.819Z"
"0099bet-login.com","https://0099bet-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:27:56.406Z"
"00secure00message00private00email00.com","https://00secure00message00private00email00.com",3,"blacklist_match","blacklist_match","","secure",0,0,"false","","","2025-07-10T13:28:12.667Z"
"0110bitcoin.xyz","https://0110bitcoin.xyz",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","","","2025-07-10T13:28:28.926Z"
"0110wallet.xyz","https://0110wallet.xyz",3,"blacklist_match","blacklist_match","","wallet",0,0,"false","","","2025-07-10T13:28:45.206Z"
"02bet-login.com","https://02bet-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:29:01.470Z"
"02ukjulyupdate.com","https://02ukjulyupdate.com",3,"blacklist_match","blacklist_match","","update",0,0,"false","","","2025-07-10T13:29:17.742Z"
"04betlogin.com","https://04betlogin.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:29:34.309Z"
"050bet-login.com","https://050bet-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:29:50.576Z"
"0532oracle.com","https://0532oracle.com",5,"medium_risk","enterprise_target","oracle","",0,0,"false","","","2025-07-10T13:30:06.849Z"
"05xlogin.com","https://05xlogin.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:30:23.467Z"
"06-2024-q35ibm9u1u.com","https://06-2024-q35ibm9u1u.com",5,"medium_risk","enterprise_target","ibm","",0,0,"false","","","2025-07-10T13:30:40.056Z"
"0bank.xyz","https://0bank.xyz",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:30:56.413Z"
"0meterchasers.com","https://0meterchasers.com",5,"medium_risk","enterprise_target","chase","",0,0,"false","","","2025-07-10T13:31:12.723Z"
"0secure-53-hlpref.online","https://0secure-53-hlpref.online",3,"blacklist_match","blacklist_match","","secure",0,0,"false","","","2025-07-10T13:31:28.987Z"
"0xsmartbank.com","https://0xsmartbank.com",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:31:45.232Z"
"1-billing.com","https://1-billing.com",3,"blacklist_match","blacklist_match","","billing",0,0,"false","","","2025-07-10T13:32:01.491Z"
"1-wallet.app","https://1-wallet.app",3,"blacklist_match","blacklist_match","","wallet",0,0,"false","","","2025-07-10T13:32:17.748Z"
"1-win-bk-apple.click","https://1-win-bk-apple.click",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-10T13:32:33.994Z"
"100bitcoin.info","https://100bitcoin.info",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","","","2025-07-10T13:32:50.220Z"
"100kminingnomad.com","https://100kminingnomad.com",3,"blacklist_match","blacklist_match","","mining",0,0,"false","","","2025-07-10T13:33:07.058Z"
"1011mining.com","https://1011mining.com",3,"blacklist_match","blacklist_match","","mining",0,0,"false","","","2025-07-10T13:33:23.289Z"
"101bitcoin.info","https://101bitcoin.info",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","","","2025-07-10T13:33:39.557Z"
"104-1035bank.com","https://104-1035bank.com",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:33:55.833Z"
"109visalia.com","https://109visalia.com",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-10T13:34:12.395Z"
"10applegate.com","https://10applegate.com",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-10T13:34:28.638Z"
"10baggerbitcoin.xyz","https://10baggerbitcoin.xyz",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","","","2025-07-10T13:34:45.197Z"
"10baggerwallet.xyz","https://10baggerwallet.xyz",3,"blacklist_match","blacklist_match","","wallet",0,0,"false","","","2025-07-10T13:35:01.450Z"
"10bb-login.com","https://10bb-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:35:17.720Z"
"10xtalkfusionupdates.com","https://10xtalkfusionupdates.com",3,"blacklist_match","blacklist_match","","update",0,0,"false","","","2025-07-10T13:35:34.304Z"
"1111bet-login.com","https://1111bet-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:35:50.538Z"
"111betlogin1.com","https://111betlogin1.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:36:06.779Z"
"111betlogins.com","https://111betlogins.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:36:23.025Z"
"111metal.com","https://111metal.com",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-10T13:36:39.261Z"
"111visa.com","https://111visa.com",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-10T13:36:55.560Z"
"1122bet-login.com","https://1122bet-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:37:11.844Z"
"113bitcoin.info","https://113bitcoin.info",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","","","2025-07-10T13:37:28.246Z"
"114bitcoin.info","https://114bitcoin.info",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","","","2025-07-10T13:37:44.535Z"
"11536burbank.info","https://11536burbank.info",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:38:00.789Z"
"11clublogins.com","https://11clublogins.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:38:17.029Z"
"11dawsonave.com","https://11dawsonave.com",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-10T13:38:33.298Z"
"11foxfirechase.com","https://11foxfirechase.com",5,"medium_risk","enterprise_target","chase","",0,0,"false","","","2025-07-10T13:38:49.540Z"
"11paws.com","https://11paws.com",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-10T13:39:05.837Z"
"11pawstx.com","https://11pawstx.com",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-10T13:39:22.130Z"
"11pglogin.com","https://11pglogin.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:39:38.410Z"
"11vipphcasinologin.com","https://11vipphcasinologin.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:39:54.678Z"
"120321-usbank.com","https://120321-usbank.com",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:40:10.945Z"
"1234betlogin.com","https://1234betlogin.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:40:27.190Z"
"123bitcoin4u.com","https://123bitcoin4u.com",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","","","2025-07-10T13:40:43.516Z"
"126account.com","https://126account.com",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-07-10T13:40:59.829Z"
"127intel.com","https://127intel.com",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-10T13:41:16.089Z"
"12gacorlogin.site","https://12gacorlogin.site",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:41:32.359Z"
"12paws4hearts.com","https://12paws4hearts.com",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-10T13:41:48.604Z"
"130bitcoin.info","https://130bitcoin.info",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","","","2025-07-10T13:42:04.871Z"
"136betlogins.com","https://136betlogins.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:42:21.115Z"
"138bitcoin.info","https://138bitcoin.info",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","","","2025-07-10T13:42:37.686Z"
"13stripescrossfit.com","https://13stripescrossfit.com",5,"medium_risk","enterprise_target","stripe","",0,0,"false","","","2025-07-10T13:42:53.982Z"
"145purchase.com","https://145purchase.com",5,"medium_risk","enterprise_target","chase","",0,0,"false","","","2025-07-10T13:43:10.568Z"
"14metaverse.xyz","https://14metaverse.xyz",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-10T13:43:27.186Z"
"14vin-login.com","https://14vin-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:43:43.448Z"
"151bitcoin.info","https://151bitcoin.info",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","","","2025-07-10T13:43:59.716Z"
"155betlogins.com","https://155betlogins.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:44:15.965Z"
"157billingsley.com","https://157billingsley.com",3,"blacklist_match","blacklist_match","","billing",0,0,"false","","","2025-07-10T13:44:32.224Z"
"168bitcoin.info","https://168bitcoin.info",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","","","2025-07-10T13:44:48.482Z"
"1721azure.com","https://1721azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","","","2025-07-10T13:45:05.118Z"
"174bitcoin.info","https://174bitcoin.info",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","","","2025-07-10T13:45:21.362Z"
"177bet-login.com","https://177bet-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:45:37.666Z"
"177betlogin.com","https://177betlogin.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:45:53.907Z"
"177update.online","https://177update.online",3,"blacklist_match","blacklist_match","","update",0,0,"false","","","2025-07-10T13:46:10.170Z"
"1800cryptos.net","https://1800cryptos.net",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","","","2025-07-10T13:46:26.438Z"
"1800cryptos.org","https://1800cryptos.org",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","","","2025-07-10T13:46:42.706Z"
"18nsfw-verify.xyz","https://18nsfw-verify.xyz",3,"blacklist_match","blacklist_match","","verify",0,0,"false","","","2025-07-10T13:46:58.960Z"
"1900betlogin.com","https://1900betlogin.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:47:15.233Z"
"1928betlogin1.com","https://1928betlogin1.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:47:31.535Z"
"193bet-login.com","https://193bet-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:47:47.812Z"
"194bitcoin.info","https://194bitcoin.info",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","","","2025-07-10T13:48:04.407Z"
"197bitcoin.info","https://197bitcoin.info",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","","","2025-07-10T13:48:20.689Z"
"1999bet-login.com","https://1999bet-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:48:36.932Z"
"19bankers.com","https://19bankers.com",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:48:53.252Z"
"19bankers.online","https://19bankers.online",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:49:09.504Z"
"1capturestripe.org","https://1capturestripe.org",5,"medium_risk","enterprise_target","stripe","",0,0,"false","","","2025-07-10T13:49:25.806Z"
"1clickpayment.com","https://1clickpayment.com",3,"blacklist_match","blacklist_match","","payment",0,0,"false","","","2025-07-10T13:49:42.403Z"
"1cryptobank.com","https://1cryptobank.com",3,"blacklist_match","blacklist_match","","crypto;bank",0,0,"false","","","2025-07-10T13:49:58.677Z"
"1fmycomm-update-medium.site","https://1fmycomm-update-medium.site",3,"blacklist_match","blacklist_match","","update",0,0,"false","","","2025-07-10T13:50:14.947Z"
"1for1mobilenotaryloansigningservices.com","https://1for1mobilenotaryloansigningservices.com",3,"blacklist_match","blacklist_match","","signin",0,0,"false","","","2025-07-10T13:50:31.381Z"
"1hrintelligence.com","https://1hrintelligence.com",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-10T13:50:47.649Z"
"1lookupverify.org","https://1lookupverify.org",3,"blacklist_match","blacklist_match","","verify",0,0,"false","","","2025-07-10T13:51:04.320Z"
"1medbilling.net","https://1medbilling.net",3,"blacklist_match","blacklist_match","","billing",0,0,"false","","","2025-07-10T13:51:21.143Z"
"1pra1login.com","https://1pra1login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:51:44.817Z"
