domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"4pawsk9resort.com","https://4pawsk9resort.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:44:20.334Z"
"4pawsmore.com","https://4pawsmore.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:44:36.937Z"
"4pawsnanny.com","https://4pawsnanny.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:44:53.206Z"
"4pawspalacesanctuary.com","https://4pawspalacesanctuary.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:45:09.543Z"
"4pawssensation.store","https://4pawssensation.store",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:45:25.832Z"
"4pawsupcorporation.com","https://4pawsupcorporation.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:45:42.107Z"
"501racingandmetalsworks.com","https://501racingandmetalsworks.com",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T14:47:03.572Z"
"51appletree.com","https://51appletree.com",5,"medium_risk","apple","",0,0,"false","","","2025-07-10T14:47:36.186Z"
"52microsoft.com","https://52microsoft.com",5,"medium_risk","microsoft","",0,0,"false","","","2025-07-10T14:48:41.879Z"
"5731applecross.com","https://5731applecross.com",5,"medium_risk","apple","",0,0,"false","","","2025-07-10T14:55:14.619Z"
"57gametada.com","https://57gametada.com",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T14:55:47.144Z"
"5gapple.com","https://5gapple.com",5,"medium_risk","apple","",0,0,"false","","","2025-07-10T14:58:30.258Z"
"5imeta.net","https://5imeta.net",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T14:59:02.792Z"
"5intelligence.com","https://5intelligence.com",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T14:59:19.059Z"
"5metatrader.com","https://5metatrader.com",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T14:59:51.954Z"
"5thmetaverse.xyz","https://5thmetaverse.xyz",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T15:00:40.802Z"
"666paypal.com","https://666paypal.com",5,"medium_risk","paypal","",0,0,"false","","","2025-07-10T15:04:45.797Z"
"6degreeintel.app","https://6degreeintel.app",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T15:08:01.836Z"
"6degreeintel.net","https://6degreeintel.net",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T15:08:18.166Z"
"6nmetal.com","https://6nmetal.com",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T15:08:34.425Z"
"6ribm6.top","https://6ribm6.top",5,"medium_risk","ibm","",0,0,"false","","","2025-07-10T15:08:51.058Z"
"70-stripe.com","https://70-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T15:09:23.624Z"
"7033oktay.xyz","https://7033oktay.xyz",5,"medium_risk","okta","",0,0,"false","","","2025-07-10T15:10:12.817Z"
"71-stripe.com","https://71-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T15:10:47.046Z"
"7120schasect.com","https://7120schasect.com",5,"medium_risk","chase","",0,0,"false","","","2025-07-10T15:11:35.872Z"
"72289-googlerecovery.com","https://72289-googlerecovery.com",5,"medium_risk","google","",0,0,"false","","","2025-07-10T15:12:41.518Z"
"75laws.com","https://75laws.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T15:16:13.870Z"
"77-stripe.com","https://77-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T15:17:35.448Z"
"79-stripe.com","https://79-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T15:24:23.951Z"
"7iibmp.top","https://7iibmp.top",5,"medium_risk","ibm","",0,0,"false","","","2025-07-10T15:27:23.417Z"
"7kmetals.biz","https://7kmetals.biz",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T15:27:40.013Z"
"7kmetals.store","https://7kmetals.store",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T15:27:56.271Z"
"7nokta.net","https://7nokta.net",5,"medium_risk","okta","",0,0,"false","","","2025-07-10T15:28:12.961Z"
"7sevenintelligence.com","https://7sevenintelligence.com",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T15:28:29.221Z"
"80gametada.com","https://80gametada.com",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T15:30:23.103Z"
"0000apple.com","https://0000apple.com",5,"medium_risk","apple","",0,0,"false","","","2025-07-10T15:33:23.973Z"
"0001-stripe.com","https://0001-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T15:33:56.858Z"
"007gametada.com","https://007gametada.com",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T15:36:56.639Z"
"011-stripe.com","https://011-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T15:38:34.904Z"
"012-stripe.com","https://012-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T15:38:51.191Z"
"013-stripe.com","https://013-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T15:39:24.886Z"
"014-stripe.com","https://014-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T15:39:41.185Z"
"015-stripe.com","https://015-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T15:39:57.440Z"
"01athleteintelligence.com","https://01athleteintelligence.com",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T15:40:30.002Z"
"01-review-stripe.com","https://01-review-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T15:41:02.568Z"
"022apple.com","https://022apple.com",5,"medium_risk","apple","",0,0,"false","","","2025-07-10T15:41:18.850Z"
"02-review-stripe.com","https://02-review-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T15:42:08.210Z"
"03-review-stripe.com","https://03-review-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T15:42:40.814Z"
"04-review-stripe.com","https://04-review-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T15:43:13.365Z"
"0532oracle.com","https://0532oracle.com",5,"medium_risk","oracle","",0,0,"false","","","2025-07-10T15:44:02.231Z"
"05-review-stripe.com","https://05-review-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T15:44:18.483Z"
"06-2024-q35ibm9u1u.com","https://06-2024-q35ibm9u1u.com",5,"medium_risk","ibm","",0,0,"false","","","2025-07-10T15:44:51.031Z"
"0meterchasers.com","https://0meterchasers.com",5,"medium_risk","chase","",0,0,"false","","","2025-07-10T15:47:34.457Z"
"0xaoracle.com","https://0xaoracle.com",5,"medium_risk","oracle","",0,0,"false","","","2025-07-10T15:49:45.270Z"
"0xintelligent.xyz","https://0xintelligent.xyz",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T15:53:50.470Z"
"0xmeta200.xyz","https://0xmeta200.xyz",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T15:54:06.719Z"
"0xvisa.xyz","https://0xvisa.xyz",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T15:55:45.629Z"
"100lawstoscaling.com","https://100lawstoscaling.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T15:57:07.530Z"
"1026-apple.com","https://1026-apple.com",5,"medium_risk","apple","",0,0,"false","","","2025-07-10T15:59:34.021Z"
"1035divisadero.com","https://1035divisadero.com",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T16:00:55.814Z"
"10849emeraldchasedr.com","https://10849emeraldchasedr.com",5,"medium_risk","chase","",0,0,"false","","","2025-07-10T16:02:00.976Z"
"109visalia.com","https://109visalia.com",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T16:02:33.928Z"
"10applegate.com","https://10applegate.com",5,"medium_risk","apple","",0,0,"false","","","2025-07-10T16:02:50.205Z"
"10oktay10.xyz","https://10oktay10.xyz",5,"medium_risk","okta","",0,0,"false","","","2025-07-10T16:04:12.288Z"
"10xworkforceintelligence.com","https://10xworkforceintelligence.com",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T16:05:34.009Z"
"111metal.com","https://111metal.com",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T16:07:28.555Z"
"111visa.com","https://111visa.com",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T16:07:45.160Z"
"1170springazure.com","https://1170springazure.com",5,"medium_risk","azure","",0,0,"false","","","2025-07-10T16:09:55.671Z"
"11dawsonave.com","https://11dawsonave.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T16:11:49.559Z"
"11foxfirechase.com","https://11foxfirechase.com",5,"medium_risk","chase","",0,0,"false","","","2025-07-10T16:12:05.825Z"
"11paws.com","https://11paws.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T16:12:54.769Z"
"11pawstx.com","https://11pawstx.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T16:13:11.376Z"
"11-stripe.com","https://11-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T16:14:00.572Z"
"123ibm.com","https://123ibm.com",5,"medium_risk","ibm","",0,0,"false","","","2025-07-10T16:17:33.221Z"
"1260lawst.com","https://1260lawst.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T16:18:06.188Z"
"127intel.com","https://127intel.com",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T16:18:38.699Z"
"12bellchasetrail.com","https://12bellchasetrail.com",5,"medium_risk","chase","",0,0,"false","","","2025-07-10T16:19:27.517Z"
"12paws4hearts.com","https://12paws4hearts.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T16:21:05.413Z"
"13-stripe.com","https://13-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T16:23:48.604Z"
"13stripescrossfit.com","https://13stripescrossfit.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T16:24:04.852Z"
"13stripesnation.com","https://13stripesnation.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T16:24:21.119Z"
"145purchase.com","https://145purchase.com",5,"medium_risk","chase","",0,0,"false","","","2025-07-10T16:25:10.281Z"
"14metaverse.xyz","https://14metaverse.xyz",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T16:25:59.090Z"
"14-stripe.com","https://14-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T16:26:15.384Z"
"15googleplay.com","https://15googleplay.com",5,"medium_risk","google","",0,0,"false","","","2025-07-10T16:28:58.442Z"
"15-stripe.com","https://15-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T16:29:15.080Z"
"16-stripe.com","https://16-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T16:32:47.681Z"
"1721azure.com","https://1721azure.com",5,"medium_risk","azure","",0,0,"false","","","2025-07-10T16:33:20.211Z"
"17-stripe.com","https://17-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T16:36:03.219Z"
"1800striperomaha.com","https://1800striperomaha.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T16:37:08.574Z"
"18-stripe.com","https://18-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T16:40:40.539Z"
"1910divisadero.com","https://1910divisadero.com",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T16:41:29.342Z"
"195712-apple.com","https://195712-apple.com",5,"medium_risk","apple","",0,0,"false","","","2025-07-10T16:43:56.371Z"
"19googlestore.com","https://19googlestore.com",5,"medium_risk","google","",0,0,"false","","","2025-07-10T16:47:45.324Z"
"19-stripe.com","https://19-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T16:48:01.563Z"
"19thjunedomainpurchase.com","https://19thjunedomainpurchase.com",5,"medium_risk","chase","",0,0,"false","","","2025-07-10T16:48:17.828Z"
